date,platform_id,revenue,actual_pay,orders,platform
2026-01-01,17193787,940.81,797.4,163,京东
2026-01-01,17488176,655.01,770.98,38,京东
2026-01-01,15688081,435.8,518.74,29,京东
2026-01-01,15587078,354.85,436.27,26,京东
2026-01-01,15587219,291.15,338.6,19,京东
2026-01-01,21818820,292.63,382.99,20,京东
2026-01-01,17671366,239.12,279.24,19,京东
2026-01-01,15688472,249.16,303.62,20,京东
2026-01-01,15638283,261.79,315.66,16,京东
2026-01-01,16013560,239.72,286.42,15,京东
2026-01-01,17750049,222.26,263.23,16,京东
2026-01-01,15587205,207.45,258.51,14,京东
2026-01-01,15928818,193.36,223.52,14,京东
2026-01-01,16023822,194.18,249.36,14,京东
2026-01-01,17399601,175.87,207.66,13,京东
2026-01-01,19529443,142.41,169.19,10,京东
2026-01-01,15275282,182.1,218.97,11,京东
2026-01-01,17582261,134.93,163.87,11,京东
2026-01-01,18439599,125.05,165.46,9,京东
2026-01-01,19544758,89.8,112.6,7,京东
2026-01-01,16014109,125.41,142.65,7,京东
2026-01-01,16014782,97.04,118.36,8,京东
2026-01-01,15587263,71.34,83.1,6,京东
2026-01-01,16021490,73.62,84.69,6,京东
2026-01-01,15689496,71.13,88.16,5,京东
2026-01-01,17488655,56.11,66.4,6,京东
2026-01-01,15929415,78.32,62.1,3,京东
2026-01-01,17194866,0.0,0.0,0,京东
2026-01-01,19545662,0.0,0.0,0,京东
2026-01-01,15929689,0.0,0.0,0,京东
2026-01-01,17357427,0.0,0.0,0,京东
2026-01-01,15922173,0.0,0.0,0,京东
2026-01-01,16173700,0.0,0.0,0,京东
2026-01-01,18526415,0.0,0.0,0,京东
2026-01-01,17398942,0.0,0.0,0,京东
2026-01-01,19546094,0.0,0.0,0,京东
2026-01-01,18191554,0.0,0.0,0,京东
2026-01-01,15688397,-0.04,0.0,0,京东
2026-01-01,17191754,0.0,0.0,0,京东
2026-01-01,17577373,0.0,0.0,0,京东
2026-01-01,17356991,0.0,0.0,0,京东
2026-01-01,16023035,0.0,0.0,0,京东
2026-01-01,15957204,0.0,0.0,0,京东
2026-01-01,15687708,0.0,0.0,0,京东
2026-01-01,15957152,0.0,0.0,0,京东
2026-01-01,19528083,0.0,0.0,0,京东
2026-01-01,16015133,0.0,0.0,0,京东
2026-01-01,15993221,0.0,0.0,0,京东
2026-01-01,15555911,0.0,0.0,0,京东
2026-01-01,16021163,0.0,0.0,0,京东
2026-01-01,15921511,0.0,0.0,0,京东
2026-01-01,15586587,0.0,0.0,0,京东
2026-01-01,16025350,0.0,0.0,0,京东
2026-01-01,16002638,0.0,0.0,0,京东
2026-01-01,17792257,0.0,0.0,0,京东
2026-01-01,16014975,0.0,0.0,0,京东
2026-01-01,17535002,0.0,0.0,0,京东
2026-01-01,16028121,0.0,0.0,0,京东
2026-01-01,15634984,0.0,0.0,0,京东
2026-01-01,16027258,0.0,0.0,0,京东
2026-01-01,16568594,0.0,0.0,0,京东
2026-01-01,20507792,0.0,0.0,0,京东
2026-01-01,16029234,0.0,0.0,0,京东
2026-01-01,15952605,0.0,0.0,0,京东
2026-01-01,17194039,0.0,0.0,0,京东
2026-01-01,15586578,0.0,0.0,0,京东
2026-01-01,16000411,0.0,0.0,0,京东
2026-01-01,16013240,0.0,0.0,0,京东
2026-01-01,17582218,0.0,0.0,0,京东
2026-01-01,15951751,0.0,0.0,0,京东
2026-01-01,16002692,0.0,0.0,0,京东
2026-01-01,15929559,0.0,0.0,0,京东
2026-01-01,16015599,0.0,0.0,0,京东
2026-01-01,15931211,0.0,0.0,0,京东
2026-01-01,16014873,0.0,0.0,0,京东
2026-01-01,15954781,0.0,0.0,0,京东
2026-01-01,17581009,0.0,0.0,0,京东
2026-01-01,16024394,0.0,0.0,0,京东
2026-01-01,16020590,0.0,0.0,0,京东
2026-01-01,17571135,0.0,0.0,0,京东
2026-01-01,17204849,0.0,0.0,0,京东
2026-01-01,15927775,0.0,0.0,0,京东
2026-01-01,15927924,0.0,0.0,0,京东
2026-01-01,16023925,0.0,0.0,0,京东
2026-01-01,17150244,0.0,0.0,0,京东
2026-01-01,17194683,0.0,0.0,0,京东
2026-01-01,20346886,0.0,0.0,0,京东
2026-01-01,15609177,0.0,0.0,0,京东
2026-01-01,16023379,0.0,0.0,0,京东
2026-01-01,16028712,0.0,0.0,0,京东
2026-01-01,17068469,0.0,0.0,0,京东
2026-01-01,19544172,0.0,0.0,0,京东
2026-01-01,16013750,0.0,0.0,0,京东
2026-01-01,19545073,0.0,0.0,0,京东
2026-01-01,17453779,0.0,0.0,0,京东
2026-01-01,16014468,0.0,0.0,0,京东
2026-01-01,16004438,0.0,0.0,0,京东
2026-01-01,15950067,0.0,0.0,0,京东
2026-01-01,16022944,0.0,0.0,0,京东
2026-01-01,15611277,0.0,0.0,0,京东
2026-01-01,15428074,0.0,0.0,0,京东
2026-01-01,16020289,-0.04,0.0,0,京东
2026-01-01,17204556,116.7,131.28,8,京东
2026-01-01,16003676,0.0,0.0,0,京东
2026-01-01,16025254,39.53,46.7,3,京东
2026-01-01,16000276,0.0,0.0,0,京东
2026-01-01,15610815,0.0,0.0,0,京东
2026-01-01,19545909,0.0,0.0,0,京东
2026-01-01,15587131,93.96,113.56,6,京东
2026-01-01,17204768,0.0,0.0,0,京东
2026-01-01,20453788,0.0,0.0,0,京东
2026-01-01,18316003,0.0,0.0,0,京东
2026-01-01,19549442,0.0,0.0,0,京东
2026-01-01,15952388,0.0,0.0,0,京东
2026-01-01,15639647,1521.06,1223.68,283,京东
2026-01-01,15348138,1520.08,1285.22,248,京东
2026-01-01,19546306,1141.14,1032.33,168,京东
2026-01-01,15929767,856.11,768.69,137,京东
2026-01-01,15609788,736.65,565.85,142,京东
2026-01-01,15586574,851.56,800.83,136,京东
2026-01-01,15579144,700.29,554.1,140,京东
2026-01-01,15609799,598.29,416.55,131,京东
2026-01-01,15951608,604.27,477.48,120,京东
2026-01-01,15636492,524.0,430.32,107,京东
2026-01-01,15586573,502.19,440.05,88,京东
2026-01-01,19707611,522.03,464.21,81,京东
2026-01-01,16013140,432.47,343.04,82,京东
2026-01-01,15218483,287.63,213.45,60,京东
2026-01-01,15610735,548.83,719.59,43,京东
2026-01-01,15609985,554.95,679.91,39,京东
2026-01-01,16012890,390.4,497.19,30,京东
2026-01-01,15955483,259.47,246.66,37,京东
2026-01-01,15274695,310.81,368.04,27,京东
2026-01-01,15586568,300.66,379.72,26,京东
2026-01-01,16014725,269.76,336.04,23,京东
2026-01-01,19341301,342.79,401.37,23,京东
2026-01-01,16028851,301.13,361.93,21,京东
2026-01-01,15756204,309.27,387.64,19,京东
2026-01-01,15928238,263.95,330.59,25,京东
2026-01-01,15922019,295.15,329.05,21,京东
2026-01-01,15929028,224.58,295.28,23,京东
2026-01-01,15586577,234.06,285.93,19,京东
2026-01-01,16000680,280.57,325.82,19,京东
2026-01-01,15608972,263.81,302.87,20,京东
2026-01-01,15553855,270.33,300.91,19,京东
2026-01-01,15205137,187.01,198.08,21,京东
2026-01-01,15922971,224.59,263.67,15,京东
2026-01-01,15586570,214.99,219.2,19,京东
2026-01-01,15635456,198.96,234.27,16,京东
2026-01-01,15990959,212.74,252.47,17,京东
2026-01-01,15796299,207.83,244.97,15,京东
2026-01-01,21679552,244.59,301.02,15,京东
2026-01-01,15851310,191.32,265.81,18,京东
2026-01-01,17483416,171.06,202.38,16,京东
2026-01-01,15610019,165.12,187.98,15,京东
